Restaurant,Reviewer,Review,Rating,Metadata
Squeeze @ The Lime,Asheesh,"Must read - I went to this place with my friends for buffet lunch. We had two options for welcome drink - one is pineapple and other is grape which were not natural fruit juices they tasted as preservatives, then moving on to soup - manchow soup was good, waiter forget to give us the starter. Served us after we reminding him, we liked crispy baby corn among 3 varieties of starters which he took 10 mints to serve for the second serve when only 10% of the place was occupied. When I asked him mayo dip waiter was giving us the left over part of dip on the table beside. When I asked for chilled water they were saying they don't have, later one of my friend asked the same person he gave us chilled water. All the items which were placed at buffet were cold not even Luke warm. Biryani was totally dried out rice was sticking to the vessel had lot more bad experience here on same day",1,"3 Reviews , 1 Follower"
Squeeze @ The Lime,Sagar Jain,"You need at least 2 hrs time to get your food prepare. better go for other restaurant instead of ordering food from it.
I have ordered food from it and they either cancel or take 2 hr to just prepare your food.",2,"2 Reviews , 1 Follower"
Squeeze @ The Lime,Sahil Dhawan,Chutney wasn’t good in taste. Rest was good.,3,"11 Reviews , 81 Followers"
Squeeze @ The Lime,Shreyoshi Mandal,"Sudden craving for Chole Bhature made me order their Platinum Combo for dinner. Priced at just Rs 129, I felt it was a steal deal! The Sandwich and sweet were delicious. Chole Bhature was kind of okayish. Overall, this pack is good enough for two people. Also, thumbs up for the efficient and hygienic packaging. 👍
Will I reorder? Yes ofcourse and would recommend others as well!",4,"155 Reviews , 1802 Followers"
Squeeze @ The Lime,Kishore Ganigapeta,simply superb,5,"3 Reviews , 4 Followers"
Squeeze @ The Lime,Kshitindra Jain,"Simply the best place in town for hosting a party specially if you are looking for a pure vegetarian authentic north Indian food. I hosted a lunch party for about 40 adults and 15 kids today and what a memorable experience we had!! It was an important personal occasion for me and I wanted it to be a memory for lifetime and Lime staff (specially the manager, Dinesh) made sure that it happens just that way!. Food was excellent. Starters were plenty and each one of them was outclassing the other one in taste. My guest just kept asking for more and more and Lime staff kept serving them without any fuss!. I just loved their Ajwaini Paneer tikka, corn Manchurian and cottage cheese pizza. Pain puri and dahi puri were good too. And yes, the delicious manchow soup that we opted instead of tomato soup they offered by default. Main course was also matching with the high expectations that starters set. All curries were great in taste, rotis and naan were served hot and whenever one wants. Rice item were also good (didn't try one myself but as told by my guests). They served Jalebi with rabadi and chocolate gulabjamoon as desserts and everyone just loved them.

Would also like to specially mention the courtesy and hospitality shown by each and every member of their serving staff. They were actually requesting my guests to taste everything and were treating my guests and their own! What more I could have asked for. At the end special thanks to Lime manager Dinesh who made sure that we have the experience that we had. I would strongly recommend this place if you want a memory for a very long time.",5,"1 Review , 1 Follower"
Squeeze @ The Lime,Jatin Pathak,I liked the ambience and lighting. However their food quality needs lot of improvement especially sizzlers. They made good lasgna but they had no idea at all about how sizzler is made. Also their services are little slow.,1,"6 Reviews , 30 Followers"
Squeeze @ The Lime,Radhika,"Good food! Except the gulabjamun everything was good, a full pack brunch in the breakfast platter :)",4,"2 Reviews , 2 Followers"
Squeeze @ The Lime,Rukmini Choudhary,nice,3,"7 Reviews , 1 Follower"
Squeeze @ The Lime,Pakka-veg Man!,very spicy and vada is uncooked.. disappointing,2,"4 Reviews , 12 Followers"
Frio Bistro,Arunraj R,"Multiple bad experiences now. Food was bad. Waiter was impolite.While leaving , my car today got stuck in parking. Frio manager was outside and pretended to not hear me honking.",1,"10 Reviews , 64 Followers"
Frio Bistro,SHADAAB ANWAR,Unhappy. Mezze platter had no taste and they took over 45 mins to prepare the food in spite of showing an expected delivery time of 30 mins. Not satisfied with service or taste. Thumbs down for me. 👎,2,"3 Reviews , 3 Followers"
Frio Bistro,Harshet Agarwal,"good location and menu
at first it seemed like an ordinary place, but had a good feel to it
according to food the prices are quite high, not like the ingredients are imported.
food was decent and so were the drinks
over an average experience",3,"34 Reviews , 36 Followers"
Frio Bistro,Monideepa Chakraborty,"Frio Bistro is a little quaint place tucked away somewhere in the crowded area of Gachibowli.
The decor was very pretty and the place looked very cosy.
We had non-veg pizza and chicken wings for starters. Both were equally good. The highlight of our meal was pork ribs which was served with veggies and mashed potato. The pork was soft and succulent and melted instantly in our mouth. One could easily say that was prime moment of our dine at Frio Bistro.
Desserts were good as well, but could have been better.
Overall, it’s a nice place to visit if you want to have a comfortable meal in the midst of the hustle bustle of this city.
Would definitely go back to this joint for their amazing Pork ribs!",4,"3 Reviews , 6 Followers"
Frio Bistro,Tejaswini Sharma,"Well if atall I am in Gachibowli area in lunch times or dinner times...my mind like a magnet asks me to get into this cozy bistro. Each thin slices of pizza wid toppings of olive oil and chilli flakes is all you need for your mid day motivation.
Have been to this place couple of times and Everytime tried something new in veg. But pizza has been a constant one. The Spanish rice too has a very authentic taste and was in competition to the pizza to give ultimate pleasure to tell taste buds. These two dishes have been my favorite and most recommend tough have tried other dishes as well.
A friendly staff and zomato gold is a value addition to this place.
Review#2 my regular visits to this place made me increase the rating from 4 to 5.
I have been to pizza events where the restaurants where claiming that it's the best pizza in town or money back .
Tough I did claim the money back as I feel the best pizza in town is what you get here.
Zomato gold is always an add on benifit .
Every time I go to this place...I come out happy tummy n happy soul ..",5,"43 Reviews , 42 Followers"
Frio Bistro,Soumi Mukherjee,"This place is my go to place for continental food at Gachibowli. The food is absolutely awesome. My recommendations would be Doner kebab, any variant of their thin crust pizza and pork ribs.

The doner kebabs are filled with juicy lamb meat balls and topped with spicy mayo stuffed inside fluffly pita breads with a sude of humus.

In pizza, I love the pigs over a blanket pizza. The pizza crust is super thin and this place serves one of the best wood fire pizzas here.

In mains, the pork ribs just melts in your mouth and the stuffed chicken breast is deliciously with the filling of creamy spinach inside.

In desserts I loved all their creations from the baklava, to cherry chocolate cheese cake and to the old fashioned tiramisu...

The service is quick and the staff is courteous.",5,"55 Reviews , 123 Followers"
Frio Bistro,Priyanka Das,Very unprofessional staffs!! Don’t even know how to serve the food on request!! Whatever you will ask their 1st answer is “No”. They also do have communication issues. Very disappointing!!,1,"2 Reviews , 8 Followers"
Frio Bistro,Asisha Ayachitula,"I'm reviewing a delivery order.

I've ordered spaghetti aglio e olio from this place.
It was soaking in oil and very less quantity.

The packing seemed like it was done in a hurry with minimum care. No spoon/fork and tissues were given with the pack.

I really liked the way they didn't backout when it came to adding olives and cherry tomatoes. Keeping the oil aside, the taste was good. However, there is scope for improvement because I've read good things about this place and their food. Didn't expect it to be like this.",3,"67 Reviews , 436 Followers"
Frio Bistro,Kapil Thakkar,"Average food. I had cheese garlic bread, pizza and white sauce pasta. Cheese garlic bread was good, but pizza had lof oil in it and pasta had no sauce. It was a bit dry. Didn't like it much. Staff and ambiance were good.",3,"16 Reviews , 2 Followers"
Frio Bistro,Anu,Not as good as it used to be.Used to like pasta a lot but turned out to be a big downer this time with degraded quality. They definitely lost a repeat customer.,2,"3 Reviews , 1 Follower"
Hyper Local,Vyshnavi Yarlagadda,"We went for a birthday party, we ordered the drinks , the alcohol was very less so I called the bearer, informed about my issue. And guess what he said “Apke paise se Bacardi or coke hi milega “ and drink was for 349, what I paid for that drink!

Although the manager was sweet enough to get me another drink.",1,"1 Review , 1 Follower"
Hyper Local,Satyendra Kuvelkar,Had visited for lunch buffet.to my surprise at 2 pm most of the dishes were hardly left and were not replenised.also service is slow had to wait even to pay bill inspite of the fact that it was half occupied.had much more expectations for that price range.definitly not value for money.,2,"3 Reviews , 3 Followers"
Hyper Local,Shreshth Malhotra,"Visited Hyper Local for their newly launched Drunch buffet. The buffet spread is valid for weeekends and costs nearly 1200/- per person. The place itself is located in a good, open area inside SLN terminus and has both indoor and outdoor sittings to offer.

My experience with their food was decent. The Drunch layout comprised of North Indian inspired starters such as Dahi Bhalle, Dahi Vade, Gol gappe as well as Papdi chaat. I would have to say that they gave a decent shot to all these things. My favorite of the lot was their Golgappe.

Speaking about their main course, they had a really limited options consisting of Chole Bhature, Veg Hakka Noodles, Red thai curry, Chicken pizza, Steamed Rice, Chicken tikka, Chicken wings and Chicken pockets. Looking at the price of the drunch, I feel a bit more items should have been on offer. Their Chicken pizza and Chicken tikka were simply delicious. However, they need to work upon their Thai curry and the availability of other items in the layout.

The best part about the place was the drinks section. Loved the preparation of Wet Garden cocktail, Sangria and Cranberry Cooler. Special mention to the bar tender for a lovely range of drinks. One can give a try to their drinks whenever you get a chance to visit the place.

All in all, the experience would have much better if there would have been additional veg appetizers and a few main course dishes. Happy eating. :)",3,"275 Reviews , 1989 Followers"
Hyper Local,Saikrishna Arvapally,As here the food was good and they serve all the cusines chinese north and hyderabadi and buffet the chinese dishes were delicious compared to others can go with friends for hangout,4,"25 Reviews , 622 Followers"
Hyper Local,Kalpana,Always have good time at hyperlocal. This time served by Nitish and had good service.very polite and recommends best food based on your choice.. good atmosphere,5,"1 Review , 6 Followers"
Hyper Local,Vemulapalli Sharmista,This is a quite happening place with good food and perfect ambience with the added outer seating.Menu options are limited but the taste is very good.You should have a prior reservation in case if you are too many people.It has good music along with a teeny tiny dance floor.,4,"63 Reviews , 142 Followers"
Hyper Local,Anita Kar,"Horrible food... No variety... Wanted to give ZERO stars...
Horrible food... No variety... Wanted to give ZERO stars...
Horrible food... No variety... Wanted to give ZERO stars...",1,"4 Reviews , 3 Followers"
Hyper Local,Sweta Mohanty,"Ambience is good but not a lot of food options are there. Tried there mocktails which could have been better and the food was okay.
Increase the food and drinks options.",3,"31 Reviews , 95 Followers"
Hyper Local,Roy Burmon,"Been here with office colleagues, overall a good place to hangout with a gang. But the sitting arrangements during day time is very tight as people would want to dine inside rather than out in the hot sun.

The food was excellent in taste, The chicken dum biriyani had a very different taste and I loved it.",4,"17 Reviews , 25 Followers"
Hyper Local,DS Singal,They have worst north indian food i believe. Spoiled my birthday mood since i am punjabi and ordered north indian food. But other than that chinese and continental was good. Their safe sex on beach deink is great just.,3,"9 Reviews , 2 Followers"
Over The Moon Brew Company,Vijay Singh,Food was bad. Ambience was average. I am not sure why this place is so over hyped. No way its rating should be 4.6. Will never go back to this place.,1,"2 Reviews , 1 Follower"
Over The Moon Brew Company,Dhriti Patnaik,Firstly the seeating space is less and the music for garden seating is really bad. Some of the items in food menu were good but my mood was dampened by the extremely bad service. This not a place to spend more time or chill.,2,"23 Reviews , 49 Followers"
Over The Moon Brew Company,Abhishek Chaudhuri,"This place was on my Hyderabad bucket list for a long time. The ambience was awesome to top that it was IPL 2019 final. The live dj was great. Coming to the food we ordered a pitcher of Belgian brewed 🍺 (warning it's a jug rather than a pitcher) but that's the best beer I ever had. The beer was accompanied by chicken 65 and pepperoni and lamb pizza. Both of them were outstanding.
The worst part was the service the place is short on staff. One waiter was waiting 7 tables and he constantly kept on ignoring us as we were the last table.",3,"4 Reviews , 6 Followers"
Over The Moon Brew Company,Mahathi Natva,"If trying brewed beer is what you love to do ... This place is a must visit . It's has a very rustic and welcoming ambience. One of their best beer would be the OTM Lager. For starters we had crispy lotus stem with water chestnuts and trust me when I say it's one of the best vegetarian starters I had in a while . The lotus stem is crispy and water chestnuts leave a refreshing feel on your palate. The sauce is sticky , sweet and sour and is surely a celebration of flavors. I would strongly recommend this dish as a must try. Also had the crispy shitake mushrooms they has a tangy flavor and a crispy texture. The chicken Tikka was one of the best tikkas I had. The meat was tender and perfectly Cooked.The mint chutney was a perfect match to go with.
If you want to drop in to grab a quick bite and some drinks after a hectic day at work ... This would be the perfect place.",4,"22 Reviews , 92 Followers"
Over The Moon Brew Company,Joel Coelho,"Great ambience, met an excellent man - Sarbeshwar. Super cool guy and great service. Food and music is excellent. Basil chicken tikka is a must try.",5,"7 Reviews , 117 Followers"
Over The Moon Brew Company,Elizabeth Thomas,"Great service by Sarmeshwar. Nice ambience as always. Fantastic music, fantastic crowd. Good food and everything is nice about the place......",5,"1 Review , 2 Followers"
Over The Moon Brew Company,Umakanth Reddy,If you are a fan of brewery u should visit this place. I have tasted three of there beers they taste good. Food is very nice we ordered chicken and tandoori fish style murgh everything is perfect here. Serving is also fast. Zomato gold is additional bonus. I felt they should allow stags on weekends on upstairs at least with a entry fee. Rest everything is perfect.,4,"1 Review , 1 Follower"
Over The Moon Brew Company,Arun Kumar Chowdary,"Went for quick bite with friends and loved the place 😊.
People were supper friendly and the food was awesome.
We were so full.
Loved the chicken pizza
Fish fry and
Palak Tika
Last but not the least the orange mocktail (sorry don't remember the name) was just awesome.

Great job OTM 🤩",5,"1 Review , 2 Followers"
Over The Moon Brew Company,Jaideep Avasarala,"An awesome place. A usual hangout if you like fresh brewed beer and some great music and lovely ambience. The best part is the really friendly and efficient staff with Keshav leading the pack. Don’t miss out on Burmese parcels, 3 cheese mushrooms and non veg kuttu parotta while you are here.",5,"33 Reviews , 69 Followers"
Over The Moon Brew Company,Achint Tank,"Very slow service, food was very cold and tasteless. Tables were not cleaned properly.
Not worth going again. Although ice tea was decent enough.",1,"2 Reviews , 2 Followers"
Beyond Flavours,Tejaswi Rao,"we went for a team lunch, such a worst restaurant.. food was tasteless, service was very slow and Ac was not working. We’ve requested them multiple times but its of no use. Please don’t waste your money and I strictly recommend not to prefer beyond flavours,",1,"1 Review , 24 Followers"
Beyond Flavours,Parshwa Shah,Food quality and taste is not good. Super slow service. Nice ambience but very poor in customer handling. Lot of items not available even if in the menu.,2,"3 Reviews , 1 Follower"
Beyond Flavours,Pragya Sarda,"Short review: Decent breads and starters, bad Shaam Savera, a little screwed up daal makhni (but should be a one-off case)
Better ambience at night... And importantly good quantity!
I wanted to give a 2.5 but that's not an option 🙈
Extensive...
Ambience: It's better at night. Friends who had been here during the day didn't like it much. So if you prefer ambience, go at night!
Food! Ordered a Hara Bhara Kebab, Shaam Savera, Daal Makhni, rotis and raita (Yes! I'm a vegetarian 🙈)
The good part! Quantity 😍
I was excited to see Shaam Savera on their menu. But take it from me, you do not want to order it. It is no where close to what it should be. They messed it up real bad, especially the colors.
The daal makhni had big chunks of garlic cloves which spoiled it for me. It wasn't creamy too :(
The breads and raita were decent!
The Hara Bhara Kebabs were decent too, soft! They had an extra outer coating of peanuts. So if you're not a peanut fan on your kebabs, ask them to skip that step 🙈
Conclusion: It looked like they had made food in a hurry.
Would like to give this place another try hoping that mine was one of the odd cases. If things change, you'll know!",3,"9 Reviews , 8 Followers"
Beyond Flavours,Abhijit Banerjee,"Awesome food, very good ambience, centrally located, ample parking....coordination between serving boys / service has scope for improvement, boys very courteous though. Not sure why the bar was closed on a Saturday evening....Overall good experience & extremely value for money....will visit again!",4,"18 Reviews , 10 Followers"
Beyond Flavours,Gautam Dev,"Second time being here it's really beyond imagination beyond taste and beyond flavours as well. Very courteous staff and very hospitile.
Taste is good but the best part is presentation,,, it's really meeting the standard of a 5 star restaurant .
Very impressed with Mr Ahmed , Pradeep and Mr Dipanajan who are very friendly and took care of us very well. Good job guys keep it up.",5,"47 Reviews , 4734 Followers"
Beyond Flavours,Shubham Jaiswal,"Came here for lunch and the food was good and tasty. We tried buffet and all the items in veg and non-veg were tasty.

The ambience and service were also good, and the staff were courteous.

shubhamtraveltales.wordpress.com",4,"30 Reviews , 34 Followers"
Beyond Flavours,S Santhosh,It’s a worst service experience. Food was OK. They took 45mins to get veg pulav. Never seen a restaurant to take such time. Won’t visit again.,1,"1 Review , 1 Follower"
Beyond Flavours,Anindya,"Excellent food and very good service by soumen das..
Ambience was good too with live music. Food was served timely. Decor of the restaurant was amazing as well.",5,"1 Review , 1 Follower"
Beyond Flavours,Vignesh Rk,"I would like to introduce this restaurant to a new ingredient called salt. If you add that yo your food, it would taste way better. So basically none of the food we ordered had salt. We ordered Fries, panko mozzarella sticks, Tomato cream soup, panner65 & ""Italian"" Nachos. Not sure how that was nachos or italian. They basically bought a pack of dorittos and added mozarella cheese on top. The beans were not baked at all, and the entire dish was cold except for the plate that it was brought in. Pretty sure they just dumped the items and stashed it inside a microwave. The paneer 65 was horrendous. Might as well called it garlic 65 with no salt. Next was the mozarella sticks, which was again cold and no salt. The only decent item that we got was the fries and the soup. Thanks to gid we didnt order any main course. All these came up to 1300 and odd. Thanks to Zomato Gold, our price went down. This place is way too expensive for the quality of food they serve. And talking about the restaurant in general, the place looks decent but there are stoves stashed under tables and seats and plants kept at inconvenient spots. They really need to clean up more.",1,"13 Reviews , 67 Followers"
Beyond Flavours,Pranith Patro,Staff are just polite and responsive. Food is the best part here. And it is better as ambience also awesome here. I met two persons here named Papiya and Shuvro who are the best at their services. Food items i liked here were Basket biryani and Kodi drum sticks. Finally just loved.,5,"2 Reviews , 39 Followers"
Desi Bytes,Yashodhara Mishra,less quantity,1,"3 Reviews , 1 Follower"
Desi Bytes,Debashree,So less quantity at so high rate,2,"2 Reviews , 1 Follower"
Desi Bytes,Ankit,"It's a shack located on the Kondapur-Gachibowli road, just beside Glocal Junction. The service was quite fast and prompt, but the food portion was less w.r.t the price. They serve only 2 small leg pieces for 120/- whereas you can get 4 pieces for 160/- at Siddique, where it tastes far better. The music system is great, with some heavy bass and a good playlist. There is an open seating, which can be a big problem during the rainy season !",3,"93 Reviews , 241 Followers"
Desi Bytes,Suseela Devi,good,4,"1 Review , 1 Follower"
Desi Bytes,Vijay Tiwari,"From long time was thinking to go this place for Litti chowcha. Today was the day we went for dinner.

This was best litti chowcha I had after I left my home town.

Just @100

Must try litti chowkha.

People was thinking what is litti chowcha, it is the famous dish of Bihar.

Food : 5/5
Value for money: 5/5
Service: 4/5",5,"141 Reviews , 1639 Followers"
Desi Bytes,VENKAT,not bad,2,"5 Reviews , 2 Followers"
Desi Bytes,Smrati Saxena,"after reading reviews, i was having high expectations from this place, so i ordered litthi choka. if you are a big big fan of soyabean then only you'll be able to eat food otherwise they put lot of soyabean oil in everything which make food taste so bad.",1,"18 Reviews , 41 Followers"
Desi Bytes,Vikashtiwary1991,Not good and my experience is not at all good . The litti chokha is very hyped here but I do not feel the same it was below par . The other food experience is also not good,1,"24 Reviews , 25 Followers"
Desi Bytes,Medha Parashar,"Open air ambience.. Just beside road.. Live music..
Specialty - litti chokha.. With the best chutneys.
Please don't have momos they suck..
I can just recommend this place for fresh air with litti chokha and nothing else.. So all 3 stars gors to litti chokha.",3,"24 Reviews , 8 Followers"
Desi Bytes,Anirudha,Worst noodles i hav ever had.,1,"3 Reviews , 2 Followers"
Cafe Eclat,Vasanthi Raj,"Portion size vs cost is dismal. 3 inch diameter quiche costs Rs165. Packaging charges very very high, Rs15 for a paper bag size 5.5"" by 7"". My bill of 793 was inclusive of Rs 50 packaging charges and Rs 38 GST... The entire order won't be sufficient to quell the hunger pangs of even one normal adult.",1,"12 Reviews , 4 Followers"
Cafe Eclat,Ayush Khatri,"I had a real craving for a chocolate and ordered Death by Chocolate cake and Quadruple Swiss Chocolate Cookie.
Cookie was pretty awesome and would definitely recommend trying(though it's pretty small) . Death by Chocolate cake was not fresh, and had that sugary texture to it. It was really disappointing.",2,"4 Reviews , 110 Followers"
Cafe Eclat,Megha Chanda,"Bakery items in the bread section are tasty. Croissants, bagels etc. Muffins are dense in texture and the icing is overly sweet. Definitely can improve on those. Not recommended for strong coffee seekers. If you want coffee coloured sweet milk beverages, then you can give it a try.",3,"6 Reviews , 53 Followers"
Cafe Eclat,Sai Kiran,Bit expensive but taste wise it’s fabulous! Trust me order hot chocolate and pasta . All there coffees and food 🥘 are delicious. Looking forward to visit again thanks.,4,"23 Reviews , 43 Followers"
Cafe Eclat,Sairam Bongu,"The best smoked salmon of Hyderabad!

Order’s & rating’s

- smoked salmon Croissant - 4.5/5
- mushroom melt - 4/5
- Smoked salmon bagel - 3.5/5
- prawn croissant - 4.5/5
- Swiss hot chocolate - 3.5/5",5,"4 Reviews , 62 Followers"
Cafe Eclat,Mallika G,This place has got the best cinammon rolls❤ everything is freshly baked. I like their butter croissant too.. coffee tastes ok. Sophisticated ambience..,4,"11 Reviews , 202 Followers"
Cafe Eclat,Prawal Agarwal,"Went there on a Sunday evening with the intention of having just a coffee and relax - as you do in a cafe. This review is not going to be about the food taste and quality and ambiance (which is good as reviewed by numerous others) but a different thing which bothered me once I started going through the menu - how expensive the place is! I have been to swanky places in 5 star hotels, but they are expensive because they are IN 5 star hotels. This place is at an ordinary location with very ordinary ambiance. Could never figure why my coffee was 300 bucks and the cheese cake slice 400.
Taste - 4 stars
Value For Money - 2 star
Overall - 3 stars",3,"7 Reviews , 110 Followers"
Cafe Eclat,Shafia Shams,"This place has one of the most amazing menu , great choices from pasta,burgers,breakfast option,in house made desserts and customized Gelato.
 The most interesting part is that has an open viewing kitchen where we can see freshly prepared bakery items,tarts and macaroons which will leave you wanting for more . Plus great Hygiene condition maintained by the kitchen staff.I have been here for breakfast and had English paneer tikka sandwich and iced latte. The quality of bread used is really one of the best.

Would love to visit this place again just to try the yummy spread of desserts and gelato.",4,"95 Reviews , 299 Followers"
Cafe Eclat,Sainikelash Jammula,"Excellent Place to Be and Food is very hygiene and good
Serving is very warm and nice.
Good Place to hang out with Family and Friend’s.
A Must Visit Place.",5,"8 Reviews , 216 Followers"
Cafe Eclat,Abhirupa Lahiri,"I haven't tried their ala carte menu but had a slice of their cheesecake which was definitely not worth the whopping 410 bucks. It was nothing like the original cheesecake and had a strong annoying scent of cinnamon. Moreover, the portion was too meagre.",1,"29 Reviews , 131 Followers"
Tandoori Food Works,Gadala Narendar,Waste of ordering food form this restaurant. I ordered tandoori full no quantity no packaging no taste waste of food. Delivery late from restaurant to Zomato delivery boy. Even single star also waste .,1,"3 Reviews , 1 Follower"
Tandoori Food Works,Gauri,"Ordered chicken tikka from here. Never had itna oily chicken tikka in my life. The oil was dripping uncontrollably from the box, the packing was bad. The naans were full of oil, the plastic was full of oil, the sabji was so spicy that we could not finish it. Basically waste of money.",2,"31 Reviews , 21 Followers"
Tandoori Food Works,Ha,"Order regular paneer tikka briyani from this place which costs rs 250/-. The briyani was good but the paneer was not so fresh and the quantity was very less. It just fills one person stomach, if someone's appetite is high then they would regret if they order food from this place.

There were two sizes, small (Rs:160/-) and regular (rs:250/-). Obviously one would think that small fills one person and regular would fill two. But No!

Very disappointed with the portion of food that they serve.

The Raitha was really tasty!! I hope they increase the portion for the amount they charge.",3,"86 Reviews , 145 Followers"
Tandoori Food Works,Asha Akunuri,"Very less priced restaurant located in SLN terminus. Ordered tangdi kebab and chicken tikka biriyani .
Tangdi kebab dint meet the expectations . Bit oily and taste was ok but the mint chutney served with it was delicious .
Chicken tikka biriyani was good . Chicken was tender soft and biriyani flavour was good .
Zomato gold is applicable here so it costed only 200 bucks for two . Quite impressed with it . ☺️
Service was quick .",4,"47 Reviews , 60 Followers"
Tandoori Food Works,Veeru,"Good food and great taste.
Worthy for the money.
Should try chicken tikka biryani.
Neat and clean packing with great taste. On time food delivery.",5,"1 Review , 2 Followers"
Tandoori Food Works,Recruiterravi99,I have ordered Chicken Tikka Biryani... Food was awesome but quantity is less and oily.  please try to work on it. delivery and packing also good,4,"2 Reviews , 1 Follower"
Tandoori Food Works,RoHith PaTel,Stale food and less quantity,1,"0 Reviews , 27 Followers"
Tandoori Food Works,Nallani Harshitha,"The biryani was not good and when coming to flavors it doesnt taste nice
can improve by adding the biryani flavors more and spices
when coming to quantity it is too much less",1,"1 Review , 1 Follower"
Tandoori Food Works,Aryan,dirty chicken tikka masala...u cooked sand along with chicken,1,"1 Review , 4 Followers"
Tandoori Food Works,Parijat Ray,Food quality is too good. We have ordered fish tikka and paneer Mali tikka. Both of them were better than experience. Waiting time is too high. I felt the quantity is too less compared to the price.,3,"146 Reviews , 333 Followers"
The Fisherman's Wharf,Madhav,"Too costly... Tastes just ok.. And the service people don't have any manners also... I have zomato gold and I went there... As we are going to get free starter... They started treating cheaply...
Warning : Never go with zomato gold they will throw cheap looks... And treat you cheaply...",1,"3 Reviews , 2 Followers"
